id,start_time,end_time,duration_hr,gap_hr
0,2021-12-13T17:28:30,2021-12-13T20:03:30,2.583,28.336
1,2021-12-15T00:23:40,2021-12-16T12:50:50,36.453,1.050
2,2021-12-16T13:53:50,2021-12-17T00:35:30,10.694,2.719
3,2021-12-17T03:18:40,2021-12-18T01:28:30,22.164,0.000
4,2021-12-18T01:28:30,2021-12-18T09:28:30,8.000,0.000
5,2021-12-18T09:28:30,2021-12-18T21:53:00,12.408,5.144
6,2021-12-19T03:01:40,2021-12-19T19:40:10,16.642,2.500
7,2021-12-19T22:10:10,2021-12-20T04:48:10,6.633,0.931
8,2021-12-20T05:44:00,2021-12-20T13:21:20,7.622,0.283
9,2021-12-20T13:38:20,2021-12-21T01:25:10,11.781,0.375
10,2021-12-21T01:47:40,2021-12-22T04:56:40,27.150,0.597
11,2021-12-22T05:32:30,2021-12-22T21:19:20,15.781,0.192
12,2021-12-22T21:30:50,2021-12-24T09:19:50,35.817,0.447
13,2021-12-24T09:46:40,2021-12-25T05:20:50,19.569,0.394
14,2021-12-25T05:44:30,2021-12-26T05:28:30,23.733,0.000
15,2021-12-26T05:28:30,2021-12-26T13:22:50,7.906,0.119
16,2021-12-26T13:30:00,2021-12-26T21:25:40,7.928,0.156
17,2021-12-26T21:35:00,2021-12-27T09:28:30,11.892,0.000
18,2021-12-27T09:28:30,2021-12-28T05:28:10,19.994,0.694
19,2021-12-28T06:09:50,2021-12-29T16:19:30,34.161,1.339
20,2021-12-29T17:39:50,2021-12-30T05:02:50,11.383,1.183
21,2021-12-30T06:13:50,2021-12-31T01:27:00,19.219,0.061
22,2021-12-31T01:30:40,2021-12-31T17:27:00,15.939,0.064
23,2021-12-31T17:30:50,2022-01-01T09:26:50,15.933,0.036
24,2022-01-01T09:29:00,2022-01-02T09:26:20,23.956,0.083
25,2022-01-02T09:31:20,2022-01-03T05:18:00,19.778,0.700
26,2022-01-03T06:00:00,2022-01-04T01:24:20,19.406,0.478
27,2022-01-04T01:53:00,2022-01-04T09:28:30,7.592,0.000
