id,start_time,end_time,duration_hr,gap_hr
0,2021-12-13T17:28:30,2021-12-13T20:03:30,2.583,28.336
1,2021-12-15T00:23:40,2021-12-15T09:58:30,9.581,0.000
2,2021-12-15T09:58:30,2021-12-15T12:58:30,3.000,0.000
3,2021-12-15T12:58:30,2021-12-15T17:28:30,4.500,0.000
4,2021-12-15T17:28:30,2021-12-16T05:22:20,11.897,0.208
5,2021-12-16T05:34:50,2021-12-16T14:06:20,8.525,1.144
6,2021-12-16T15:15:00,2021-12-17T00:35:30,9.342,2.719
7,2021-12-17T03:18:40,2021-12-17T06:26:00,3.122,3.200
8,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,1.744
9,2021-12-17T11:43:20,2021-12-18T02:23:20,14.667,0.747
10,2021-12-18T03:08:10,2021-12-18T09:58:30,6.839,0.000
11,2021-12-18T09:58:30,2021-12-18T18:53:10,8.911,0.164
12,2021-12-18T19:03:00,2021-12-18T21:53:00,2.833,5.144
13,2021-12-19T03:01:40,2021-12-19T03:01:40,0.000,4.272
14,2021-12-19T07:18:00,2021-12-19T11:28:30,4.175,0.000
15,2021-12-19T11:28:30,2021-12-19T19:40:10,8.194,2.500
16,2021-12-19T22:10:10,2021-12-20T05:44:10,7.567,1.747
17,2021-12-20T07:29:00,2021-12-20T10:29:10,3.003,1.044
18,2021-12-20T11:31:50,2021-12-20T14:11:00,2.653,3.297
19,2021-12-20T17:28:50,2021-12-21T02:27:20,8.975,0.186
20,2021-12-21T02:38:30,2021-12-21T18:48:10,16.161,0.200
21,2021-12-21T19:00:10,2021-12-22T02:25:30,7.422,0.161
22,2021-12-22T02:35:10,2021-12-22T04:56:40,2.358,0.597
23,2021-12-22T05:32:30,2021-12-22T11:20:30,5.800,0.667
24,2021-12-22T12:00:30,2021-12-22T21:57:20,9.947,0.064
25,2021-12-22T22:01:10,2021-12-23T12:58:30,14.956,0.000
26,2021-12-23T12:58:30,2021-12-23T15:58:30,3.000,0.000
27,2021-12-23T15:58:30,2021-12-24T08:22:10,16.394,0.258
