id,start_time,end_time,duration_hr,gap_hr
0,2021-12-15T00:23:40,2021-12-16T11:31:20,35.128,6.014
1,2021-12-16T17:32:10,2021-12-16T20:59:00,3.447,12.65
2,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,2.625
3,2021-12-17T12:36:10,2021-12-18T02:23:20,13.786,1.231
4,2021-12-18T03:37:10,2021-12-18T17:03:00,13.431,2
5,2021-12-18T19:03:00,2021-12-18T20:38:30,1.592,10.819
6,2021-12-19T07:27:40,2021-12-19T18:53:40,11.433,6.556
7,2021-12-20T01:27:00,2021-12-20T03:58:30,2.525,16.153
8,2021-12-20T20:07:40,2021-12-22T00:49:40,28.7,12.45
9,2021-12-22T13:16:40,2021-12-24T05:29:20,40.211,5.811
10,2021-12-24T11:18:00,2021-12-24T23:10:30,11.875,7.308
11,2021-12-25T06:29:00,2021-12-25T09:20:10,2.853,0.542
12,2021-12-25T09:52:40,2021-12-25T13:02:40,3.167,2.314
13,2021-12-25T15:21:30,2021-12-26T12:05:50,20.739,0.65
14,2021-12-26T12:44:50,2021-12-27T22:51:20,34.108,0.758
15,2021-12-27T23:36:50,2021-12-28T00:54:00,1.286,6.183
16,2021-12-28T07:05:00,2021-12-28T22:43:00,15.633,23.239
17,2021-12-29T21:57:20,2021-12-30T01:12:50,3.258,5.722
18,2021-12-30T06:56:10,2022-01-02T23:02:50,88.111,12.933
19,2022-01-03T11:58:50,2022-01-03T12:25:00,0.436,3.086
20,2022-01-03T15:30:10,2022-01-03T22:29:00,6.981,1.892
21,2022-01-04T00:22:30,2022-01-04T01:24:20,1.031,0.478
22,2022-01-04T01:53:00,2022-01-06T06:16:30,52.392,1.039
23,2022-01-06T07:18:50,2022-01-06T17:52:10,10.556,0.186
24,2022-01-06T18:03:20,2022-01-06T18:07:30,0.069,0.906
25,2022-01-06T19:01:50,2022-01-06T21:58:00,2.936,13.069
26,2022-01-07T11:02:10,2022-01-07T11:46:00,0.731,2.483
27,2022-01-07T14:15:00,2022-01-07T16:30:30,2.258,4.633
28,2022-01-07T21:08:30,2022-01-08T13:36:10,16.461,2.986
29,2022-01-08T16:35:20,2022-01-09T02:26:30,9.853,78.361
30,2022-01-12T08:48:10,2022-01-12T17:00:00,8.197,4.392
31,2022-01-12T21:23:30,2022-01-13T04:22:00,6.975,10.256
32,2022-01-13T14:37:20,2022-01-14T00:53:30,10.269,6.5
33,2022-01-14T07:23:30,2022-01-14T08:09:00,0.758,1.1
34,2022-01-14T09:15:00,2022-01-14T13:28:50,4.231,27.456
35,2022-01-15T16:56:10,2022-01-16T02:46:20,9.836,10.853
36,2022-01-16T13:37:30,2022-01-16T18:51:20,5.231,23.842
37,2022-01-17T18:41:50,2022-01-19T08:58:50,38.283,43.306
38,2022-01-21T04:17:10,2022-01-22T09:47:10,29.5,8.392
39,2022-01-22T18:10:40,2022-01-23T02:04:50,7.903,12.692
40,2022-01-23T14:46:20,2022-01-24T15:10:30,24.403,42.208
41,2022-01-26T09:23:00,2022-01-26T16:12:50,6.831,6.811
42,2022-01-26T23:01:30,2022-01-27T11:28:00,12.442,5.464
43,2022-01-27T16:55:50,2022-01-27T19:28:00,2.536,14.842
44,2022-01-28T10:18:30,2022-01-28T22:18:00,11.992,1.311
45,2022-01-28T23:36:40,2022-01-29T00:15:20,0.644,8.525
46,2022-01-29T08:46:50,2022-01-29T11:11:40,2.414,6.911
47,2022-01-29T18:06:20,2022-01-31T04:30:50,34.408,18.236
48,2022-01-31T22:45:00,2022-02-01T22:24:30,23.658,23.133
49,2022-02-02T21:32:30,2022-02-02T21:52:20,0.331,16.85
50,2022-02-03T14:43:20,2022-02-03T17:03:00,2.328,5.947
