id,start_time,end_time,duration_hr,gap_hr
0,2021-12-15T00:23:40,2021-12-16T09:13:30,32.831,7.319
1,2021-12-16T16:32:40,2021-12-16T19:51:00,3.306,17.528
2,2021-12-17T13:22:40,2021-12-18T20:38:30,31.264,10.658
3,2021-12-19T07:18:00,2021-12-19T18:53:40,11.594,24.986
4,2021-12-20T19:52:50,2021-12-21T00:08:40,4.264,3.331
5,2021-12-21T03:28:30,2021-12-21T23:23:00,19.908,14.692
6,2021-12-22T14:04:30,2021-12-24T07:24:30,41.333,2.369
7,2021-12-24T09:46:40,2021-12-24T22:38:20,12.861,15.953
8,2021-12-25T14:35:30,2021-12-26T20:50:00,30.242,2.700
9,2021-12-26T23:32:00,2021-12-28T00:29:40,24.961,6.589
10,2021-12-28T07:05:00,2021-12-28T22:43:00,15.633,23.025
11,2021-12-29T21:44:30,2021-12-30T01:56:40,4.203,4.642
12,2021-12-30T06:35:10,2022-01-03T00:23:10,89.800,14.950
13,2022-01-03T15:20:10,2022-01-06T23:21:50,80.028,14.886
14,2022-01-07T14:15:00,2022-01-07T16:30:30,2.258,2.600
15,2022-01-07T19:06:30,2022-01-09T01:56:50,30.839,78.642
16,2022-01-12T08:35:20,2022-01-12T17:00:00,8.411,4.142
17,2022-01-12T21:08:30,2022-01-13T04:22:00,7.225,10.039
18,2022-01-13T14:24:20,2022-01-14T01:12:40,10.806,6.181
19,2022-01-14T07:23:30,2022-01-14T13:28:50,6.089,27.456
20,2022-01-15T16:56:10,2022-01-16T02:46:20,9.836,10.853
21,2022-01-16T13:37:30,2022-01-16T20:29:00,6.858,23.039
22,2022-01-17T19:31:20,2022-01-19T08:58:50,37.458,43.306
23,2022-01-21T04:17:10,2022-01-21T07:19:30,3.039,3.067
24,2022-01-21T10:23:30,2022-01-21T19:17:10,8.894,2.172
25,2022-01-21T21:27:30,2022-01-22T09:47:10,12.328,8.392
26,2022-01-22T18:10:40,2022-01-23T02:04:50,7.903,12.533
27,2022-01-23T14:36:50,2022-01-24T15:10:30,24.561,42.208
28,2022-01-26T09:23:00,2022-01-26T16:25:50,7.047,5.828
29,2022-01-26T22:15:30,2022-01-27T00:25:20,2.164,2.372
30,2022-01-27T02:47:40,2022-01-27T11:28:00,8.672,5.464
31,2022-01-27T16:55:50,2022-01-27T19:28:00,2.536,14.842
32,2022-01-28T10:18:30,2022-01-28T22:27:20,12.147,8.728
33,2022-01-29T07:11:00,2022-01-29T11:11:40,4.011,6.744
34,2022-01-29T17:56:20,2022-01-31T04:30:50,34.575,18.808
35,2022-01-31T23:19:20,2022-02-01T21:56:40,22.622,40.778
36,2022-02-03T14:43:20,2022-02-03T17:03:00,2.328,5.947
37,2022-02-03T22:59:50,2022-02-04T22:17:40,23.297,6.947
38,2022-02-05T05:14:30,2022-02-05T20:38:30,15.400,7.169
39,2022-02-06T03:48:40,2022-02-06T17:08:50,13.336,12.756
40,2022-02-07T05:54:10,2022-02-07T11:19:00,5.414,14.989
41,2022-02-08T02:18:20,2022-02-08T09:00:40,6.706,23.158
42,2022-02-09T08:10:10,2022-02-10T01:05:50,16.928,12.664
43,2022-02-10T13:45:40,2022-02-10T19:03:00,5.289,6.233
44,2022-02-11T01:17:00,2022-02-11T22:17:50,21.014,16.647
45,2022-02-12T14:56:40,2022-02-12T16:02:50,1.103,3.044
46,2022-02-12T19:05:30,2022-02-13T05:35:40,10.503,12.106
47,2022-02-13T17:42:00,2022-02-14T13:42:00,20.000,15.439
48,2022-02-15T05:08:20,2022-02-15T07:20:20,2.200,2.233
49,2022-02-15T09:34:20,2022-02-15T12:43:30,3.153,8.422
50,2022-02-15T21:08:50,2022-02-16T06:27:10,9.306,8.303
51,2022-02-16T14:45:20,2022-02-16T23:42:10,8.947,20.803
52,2022-02-17T20:30:20,2022-02-17T23:16:00,2.761,2.608
53,2022-02-18T01:52:30,2022-02-19T01:06:20,23.231,14.508
54,2022-02-19T15:36:50,2022-02-19T23:52:40,8.264,8.150
55,2022-02-20T08:01:40,2022-02-21T01:33:50,17.536,3.778
56,2022-02-21T05:20:30,2022-02-21T07:55:50,2.589,4.511
57,2022-02-21T12:26:30,2022-02-22T11:56:40,23.503,2.778
58,2022-02-22T14:43:20,2022-02-22T22:10:50,7.458,70.781
59,2022-02-25T20:57:40,2022-02-25T23:52:40,2.917,101.197
60,2022-03-02T05:04:30,2022-03-02T22:42:20,17.631,79.414
61,2022-03-06T06:07:10,2022-03-06T21:37:40,15.508,43.706
62,2022-03-08T17:20:00,2022-03-09T07:37:10,14.286,12.625
63,2022-03-09T20:14:40,2022-03-09T22:11:00,1.939,26.225
64,2022-03-11T00:24:30,2022-03-11T08:40:10,8.261,8.028
65,2022-03-11T16:41:50,2022-03-11T21:03:50,4.367,25.414
66,2022-03-12T22:28:40,2022-03-13T00:51:30,2.381,123.444
67,2022-03-18T04:18:10,2022-03-18T16:55:50,12.628,44.742
68,2022-03-20T13:40:20,2022-03-20T15:58:20,2.300,32.047
69,2022-03-22T00:01:10,2022-03-22T03:58:10,3.950,76.689
70,2022-03-25T08:39:30,2022-03-25T13:09:20,4.497,4.708
71,2022-03-25T17:51:50,2022-03-25T19:25:50,1.567,2.528
72,2022-03-25T21:57:30,2022-03-26T00:05:40,2.136,37.819
73,2022-03-27T13:54:50,2022-03-27T15:39:10,1.739,53.575
74,2022-03-29T21:13:40,2022-03-30T17:13:10,19.992,118.203
75,2022-04-04T15:25:20,2022-04-04T18:04:10,2.647,14.803
76,2022-04-05T08:52:20,2022-04-07T17:10:50,56.308,73.478
77,2022-04-10T18:39:30,2022-04-10T20:35:40,1.936,44.025
78,2022-04-12T16:37:10,2022-04-13T17:53:00,25.264,13.197
79,2022-04-14T07:04:50,2022-04-15T22:55:40,39.847,40.864
80,2022-04-17T15:47:30,2022-04-18T12:26:10,20.644,47.669
81,2022-04-20T12:06:20,2022-04-20T16:34:20,4.467,4.778
82,2022-04-20T21:21:00,2022-04-20T23:07:40,1.778,31.739
