id,start_time,end_time,duration_hr,gap_hr
0,2021-12-15T00:23:40,2021-12-16T11:31:20,35.128,2.375
1,2021-12-16T13:53:50,2021-12-16T14:06:20,0.208,1.608
2,2021-12-16T15:42:50,2021-12-16T15:50:20,0.125,0.706
3,2021-12-16T16:32:40,2021-12-17T00:35:30,8.047,2.719
4,2021-12-17T03:18:40,2021-12-17T04:21:40,1.05,5.272
5,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,1.744
6,2021-12-17T11:43:20,2021-12-18T20:38:30,32.919,10.658
7,2021-12-19T07:18:00,2021-12-19T18:53:40,11.594,6.042
8,2021-12-20T00:56:10,2021-12-20T04:48:10,3.867,2.681
9,2021-12-20T07:29:00,2021-12-20T09:11:30,1.708,4.164
10,2021-12-20T13:21:20,2021-12-20T14:11:00,0.828,3.297
11,2021-12-20T17:28:50,2021-12-29T09:24:50,207.933,4.917
12,2021-12-29T14:19:50,2021-12-29T14:33:20,0.225,1.342
13,2021-12-29T15:53:50,2021-12-29T16:19:30,0.428,5.417
14,2021-12-29T21:44:30,2022-01-03T06:15:10,104.511,3.611
15,2022-01-03T09:51:50,2022-01-06T23:21:50,85.5,11.672
16,2022-01-07T11:02:10,2022-01-07T11:46:00,0.731,2.483
17,2022-01-07T14:15:00,2022-01-07T16:30:30,2.258,2.6
18,2022-01-07T19:06:30,2022-01-07T19:10:40,0.069,1.964
19,2022-01-07T21:08:30,2022-01-09T02:52:10,29.728,1.983
20,2022-01-09T04:51:10,2022-01-09T05:08:20,0.286,75.45
21,2022-01-12T08:35:20,2022-01-12T17:00:00,8.411,4.142
22,2022-01-12T21:08:30,2022-01-13T04:22:00,7.225,10.039
23,2022-01-13T14:24:20,2022-01-14T01:12:40,10.806,6.181
24,2022-01-14T07:23:30,2022-01-14T08:09:00,0.758,1.1
25,2022-01-14T09:15:00,2022-01-14T13:28:50,4.231,8.972
26,2022-01-14T22:27:10,2022-01-14T22:55:10,0.467,18.017
27,2022-01-15T16:56:10,2022-01-16T03:03:40,10.125,3.747
28,2022-01-16T06:48:30,2022-01-16T06:51:50,0.056,6.761
29,2022-01-16T13:37:30,2022-01-16T18:59:30,5.367,1.386
30,2022-01-16T20:22:40,2022-01-16T20:29:00,0.106,22.214
31,2022-01-17T18:41:50,2022-01-19T10:51:10,40.156,8.169
32,2022-01-19T19:01:20,2022-01-19T19:13:50,0.208,25.686
33,2022-01-20T20:55:00,2022-01-20T20:59:10,0.069,7.3
34,2022-01-21T04:17:10,2022-01-21T04:31:10,0.233,1.489
35,2022-01-21T06:00:30,2022-01-21T07:19:30,1.317,3.067
36,2022-01-21T10:23:30,2022-01-21T13:17:10,2.894,1.175
37,2022-01-21T14:27:40,2022-01-21T19:17:10,4.825,2.172
38,2022-01-21T21:27:30,2022-01-22T01:03:20,3.597,1.072
39,2022-01-22T02:07:40,2022-01-22T09:47:10,7.658,8.392
40,2022-01-22T18:10:40,2022-01-23T02:35:50,8.419,1.639
41,2022-01-23T04:14:10,2022-01-23T04:27:00,0.214,9.544
42,2022-01-23T13:59:40,2022-01-24T15:10:30,25.181,3.1
43,2022-01-24T18:16:30,2022-01-24T18:54:40,0.636,2.378
44,2022-01-24T21:17:20,2022-01-24T21:34:30,0.286,35.808
45,2022-01-26T09:23:00,2022-01-26T09:49:50,0.447,1.492
46,2022-01-26T11:19:20,2022-01-26T13:31:10,2.197,1.339
47,2022-01-26T14:51:30,2022-01-26T16:25:50,1.572,5.828
48,2022-01-26T22:15:30,2022-01-26T22:18:10,0.044,0.722
49,2022-01-26T23:01:30,2022-01-27T00:25:20,1.397,2.372
50,2022-01-27T02:47:40,2022-01-27T05:11:00,2.389,1.397
51,2022-01-27T06:34:50,2022-01-27T11:28:00,4.886,5.464
52,2022-01-27T16:55:50,2022-01-27T19:28:00,2.536,14.842
53,2022-01-28T10:18:30,2022-01-28T20:13:40,9.919,1.539
54,2022-01-28T21:46:00,2022-01-28T22:27:20,0.689,1.156
55,2022-01-28T23:36:40,2022-01-29T00:15:20,0.644,1.361
56,2022-01-29T01:37:00,2022-01-29T02:10:50,0.564,4.708
57,2022-01-29T06:53:20,2022-01-29T07:15:00,0.361,1.531
58,2022-01-29T08:46:50,2022-01-29T11:11:40,2.414,6.453
59,2022-01-29T17:38:50,2022-01-31T04:30:50,34.867,18.236
60,2022-01-31T22:45:00,2022-02-01T22:24:30,23.658,23.133
61,2022-02-02T21:32:30,2022-02-02T21:52:20,0.331,16.85
62,2022-02-03T14:43:20,2022-02-03T17:25:30,2.703,5.572
63,2022-02-03T22:59:50,2022-02-04T21:32:50,22.55,0.706
,,,,
65,2022-02-05T04:59:20,2022-02-05T20:38:30,15.653,3.478
66,2022-02-06T00:07:10,2022-02-06T00:43:40,0.608,3.083
67,2022-02-06T03:48:40,2022-02-06T11:52:10,8.058,0.867
68,2022-02-06T12:44:10,2022-02-06T17:08:50,4.411,12.756
69,2022-02-07T05:54:10,2022-02-07T06:06:40,0.208,0.464
70,2022-02-07T06:34:30,2022-02-07T11:19:00,4.742,3.825
71,2022-02-07T15:08:30,2022-02-07T15:09:20,0.014,0.764
72,2022-02-07T15:55:10,2022-02-07T15:57:10,0.033,10.353
73,2022-02-08T02:18:20,2022-02-08T09:00:40,6.706,9.719
74,2022-02-08T18:43:50,2022-02-08T19:14:30,0.511,12.928
75,2022-02-09T08:10:10,2022-02-09T10:44:20,2.569,1.625
76,2022-02-09T12:21:50,2022-02-10T01:05:50,12.733,8.397
77,2022-02-10T09:29:40,2022-02-10T09:31:20,0.028,4.239
78,2022-02-10T13:45:40,2022-02-10T18:14:20,4.478,0.706
79,2022-02-10T18:56:40,2022-02-10T19:03:00,0.106,1.192
80,2022-02-10T20:14:30,2022-02-10T20:27:00,0.208,1.492
81,2022-02-10T21:56:30,2022-02-10T22:15:40,0.319,3.022
82,2022-02-11T01:17:00,2022-02-11T22:17:50,21.014,16.647
83,2022-02-12T14:56:40,2022-02-12T16:02:50,1.103,3.044
84,2022-02-12T19:05:30,2022-02-13T00:41:40,5.603,1.642
85,2022-02-13T02:20:10,2022-02-13T04:48:20,2.469,0.728
86,2022-02-13T05:32:00,2022-02-13T05:35:40,0.061,2.014
87,2022-02-13T07:36:30,2022-02-13T07:43:30,0.117,0.506
88,2022-02-13T08:13:50,2022-02-13T08:14:20,0.008,9.461
89,2022-02-13T17:42:00,2022-02-14T05:57:10,12.253,0.689
90,2022-02-14T06:38:30,2022-02-14T13:42:00,7.058,4.083
91,2022-02-14T17:47:00,2022-02-14T18:13:50,0.447,1.367
92,2022-02-14T19:35:50,2022-02-14T19:53:20,0.292,0.783
93,2022-02-14T20:40:20,2022-02-14T20:49:40,0.156,0.856
94,2022-02-14T21:41:00,2022-02-14T21:58:50,0.297,0.492
95,2022-02-14T22:28:20,2022-02-14T22:28:40,0.006,6.661
96,2022-02-15T05:08:20,2022-02-15T07:20:20,2.2,2.233
97,2022-02-15T09:34:20,2022-02-15T10:53:50,1.325,0.619
98,2022-02-15T11:31:00,2022-02-15T12:43:30,1.208,4.939
99,2022-02-15T17:39:50,2022-02-15T18:22:00,0.703,2.781
100,2022-02-15T21:08:50,2022-02-16T07:06:40,9.964,3.25
101,2022-02-16T10:21:40,2022-02-16T10:57:40,0.6,2.931
102,2022-02-16T13:53:30,2022-02-16T14:10:10,0.278,0.586
103,2022-02-16T14:45:20,2022-02-16T16:13:00,1.461,1.411
104,2022-02-16T17:37:40,2022-02-16T22:10:20,4.544,0.703
105,2022-02-16T22:52:30,2022-02-16T23:42:10,0.828,20.283
106,2022-02-17T19:59:10,2022-02-19T01:30:20,29.519,14.108
107,2022-02-19T15:36:50,2022-02-19T23:52:40,8.264,2.953
108,2022-02-20T02:49:50,2022-02-20T02:52:00,0.036,5.161
109,2022-02-20T08:01:40,2022-02-22T22:10:50,62.153,47.406
110,2022-02-24T21:35:10,2022-02-24T22:00:40,0.425,20.819
111,2022-02-25T18:49:50,2022-02-25T18:53:00,0.053,2.078
112,2022-02-25T20:57:40,2022-02-25T23:52:40,2.917,39.439
113,2022-02-27T15:19:00,2022-02-27T15:26:00,0.117,23.356
114,2022-02-28T14:47:20,2022-02-28T14:58:30,0.186,0.869
115,2022-02-28T15:50:40,2022-02-28T15:56:10,0.092,0.936
116,2022-02-28T16:52:20,2022-02-28T17:15:00,0.378,5.778
117,2022-02-28T23:01:40,2022-03-01T00:13:10,1.192,1.219
118,2022-03-01T01:26:20,2022-03-01T02:13:00,0.778,5.864
119,2022-03-01T08:04:50,2022-03-01T08:48:00,0.719,0.711
120,2022-03-01T09:30:40,2022-03-01T09:52:20,0.361,0.928
121,2022-03-01T10:48:00,2022-03-01T10:49:40,0.028,5.967
122,2022-03-01T16:47:40,2022-03-01T16:48:00,0.006,2.128
123,2022-03-01T18:55:40,2022-03-01T19:04:50,0.153,2.533
124,2022-03-01T21:36:50,2022-03-01T21:46:30,0.161,0.525
125,2022-03-01T22:18:00,2022-03-01T22:19:10,0.019,6.756
126,2022-03-02T05:04:30,2022-03-03T00:04:50,19.006,18.036
127,2022-03-03T18:07:00,2022-03-03T18:29:30,0.375,17.744
128,2022-03-04T12:14:10,2022-03-04T12:43:30,0.489,1.206
129,2022-03-04T13:55:50,2022-03-04T13:57:10,0.022,8.653
130,2022-03-04T22:36:20,2022-03-04T22:37:10,0.014,0.875
131,2022-03-04T23:29:40,2022-03-04T23:30:10,0.008,17.956
132,2022-03-05T17:27:30,2022-03-05T17:40:50,0.222,1.133
133,2022-03-05T18:48:50,2022-03-05T18:49:10,0.006,11.3
134,2022-03-06T06:07:10,2022-03-06T21:37:40,15.508,19.628
135,2022-03-07T17:15:20,2022-03-07T17:15:40,0.006,24.072
136,2022-03-08T17:20:00,2022-03-09T07:37:10,14.286,12.625
137,2022-03-09T20:14:40,2022-03-09T21:17:40,1.05,0.833
138,2022-03-09T22:07:40,2022-03-09T22:11:00,0.056,1.011
139,2022-03-09T23:11:40,2022-03-09T23:41:20,0.494,0.922
140,2022-03-10T00:36:40,2022-03-10T01:13:10,0.608,23.189
141,2022-03-11T00:24:30,2022-03-11T08:40:10,8.261,6.194
142,2022-03-11T14:51:50,2022-03-11T15:14:20,0.375,1.458
143,2022-03-11T16:41:50,2022-03-11T23:26:40,6.747,4.267
144,2022-03-12T03:42:40,2022-03-12T03:56:10,0.225,9.547
145,2022-03-12T13:29:00,2022-03-12T13:30:40,0.028,1.142
146,2022-03-12T14:39:10,2022-03-12T14:43:30,0.072,0.7
147,2022-03-12T15:25:30,2022-03-12T15:28:10,0.044,4.014
148,2022-03-12T19:29:00,2022-03-12T19:38:50,0.164,0.481
149,2022-03-12T20:07:40,2022-03-12T21:43:10,1.592,0.758
150,2022-03-12T22:28:40,2022-03-13T00:51:30,2.381,13.208
151,2022-03-13T14:04:00,2022-03-13T14:51:20,0.789,0.486
152,2022-03-13T15:20:30,2022-03-13T15:48:10,0.461,0.953
153,2022-03-13T16:45:20,2022-03-13T17:34:40,0.822,3.661
154,2022-03-13T21:14:20,2022-03-13T21:45:40,0.522,0.533
155,2022-03-13T22:17:40,2022-03-13T22:18:00,0.006,1.597
156,2022-03-13T23:53:50,2022-03-14T00:02:30,0.144,50.131
157,2022-03-16T02:10:20,2022-03-16T02:45:10,0.581,2.869
158,2022-03-16T05:37:20,2022-03-16T06:04:50,0.458,16.072
159,2022-03-16T22:09:10,2022-03-16T22:14:20,0.086,24.353
160,2022-03-17T22:35:30,2022-03-17T22:36:50,0.022,5.689
161,2022-03-18T04:18:10,2022-03-18T16:55:50,12.628,44.742
162,2022-03-20T13:40:20,2022-03-20T15:58:20,2.3,32.047
163,2022-03-22T00:01:10,2022-03-22T03:58:10,3.95,35.928
164,2022-03-23T15:53:50,2022-03-23T16:15:50,0.367,0.478
165,2022-03-23T16:44:30,2022-03-23T17:03:00,0.308,28.783
