id,start_time,end_time,duration_hr,gap_hr
0,2021-12-13T17:28:30,2021-12-13T17:28:40,0.003,0.800
1,2021-12-13T18:16:40,2021-12-13T18:16:50,0.003,0.436
2,2021-12-13T18:43:00,2021-12-13T18:43:30,0.008,1.331
3,2021-12-13T20:03:20,2021-12-13T20:03:30,0.003,28.336
4,2021-12-15T00:23:40,2021-12-16T09:57:10,33.558,0.650
5,2021-12-16T10:36:10,2021-12-16T11:31:20,0.919,1.006
6,2021-12-16T12:31:40,2021-12-16T12:50:50,0.319,1.050
7,2021-12-16T13:53:50,2021-12-16T14:06:20,0.208,1.608
8,2021-12-16T15:42:50,2021-12-16T15:50:20,0.125,0.706
9,2021-12-16T16:32:40,2021-12-16T18:14:50,1.703,0.814
10,2021-12-16T19:03:40,2021-12-16T19:51:00,0.789,0.736
11,2021-12-16T20:35:10,2021-12-16T20:59:00,0.397,0.481
12,2021-12-16T21:27:50,2021-12-16T21:28:30,0.011,0.603
13,2021-12-16T22:04:40,2021-12-16T22:29:10,0.408,1.192
14,2021-12-16T23:40:40,2021-12-17T00:02:20,0.361,0.547
15,2021-12-17T00:35:10,2021-12-17T00:35:30,0.006,2.719
16,2021-12-17T03:18:40,2021-12-17T04:21:40,1.050,5.272
17,2021-12-17T09:38:00,2021-12-17T09:58:40,0.344,1.744
18,2021-12-17T11:43:20,2021-12-18T02:23:20,14.667,0.747
19,2021-12-18T03:08:10,2021-12-18T17:03:00,13.914,1.811
20,2021-12-18T18:51:40,2021-12-18T20:38:30,1.781,10.658
21,2021-12-19T07:18:00,2021-12-19T18:53:40,11.594,0.456
22,2021-12-19T19:21:00,2021-12-19T19:40:10,0.319,5.267
23,2021-12-20T00:56:10,2021-12-20T00:57:00,0.014,0.500
24,2021-12-20T01:27:00,2021-12-20T02:27:00,1.000,0.483
25,2021-12-20T02:56:00,2021-12-20T04:48:10,1.869,0.931
26,2021-12-20T05:44:00,2021-12-20T05:44:10,0.003,1.747
27,2021-12-20T07:29:00,2021-12-20T09:11:30,1.708,4.164
28,2021-12-20T13:21:20,2021-12-20T14:11:00,0.828,3.297
29,2021-12-20T17:28:50,2021-12-20T17:36:30,0.128,0.661
30,2021-12-20T18:16:10,2021-12-20T18:58:30,0.706,0.906
31,2021-12-20T19:52:50,2021-12-22T00:57:10,29.072,0.478
32,2021-12-22T01:25:50,2021-12-22T04:56:40,3.514,0.597
33,2021-12-22T05:32:30,2021-12-22T05:40:20,0.131,0.594
34,2021-12-22T06:16:00,2021-12-22T06:44:40,0.478,0.494
35,2021-12-22T07:14:20,2021-12-22T10:40:20,3.433,0.472
36,2021-12-22T11:08:40,2021-12-22T11:20:30,0.197,0.667
37,2021-12-22T12:00:30,2021-12-24T09:19:50,45.322,0.447
38,2021-12-24T09:46:40,2021-12-24T23:34:20,13.794,0.464
39,2021-12-25T00:02:10,2021-12-25T00:39:10,0.617,0.539
40,2021-12-25T01:11:30,2021-12-25T01:25:50,0.239,0.514
41,2021-12-25T01:56:40,2021-12-25T04:54:50,2.969,0.433
42,2021-12-25T05:20:50,2021-12-25T09:20:10,3.989,0.542
43,2021-12-25T09:52:40,2021-12-25T13:17:50,3.419,0.447
